"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","col","Degree","Eccentricity","IsSingleNode","label","ManualCategoryLvl1","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","size","Stress","TopologicalCoefficient"
"1.588235294117647","0.05509215520980005","0.6296296296296297","0.3816091954022989","#FFD300","30","3","false","G_subsystem11","Lipid metabolism","Sphingolipid metabolism","21.166666666666668","0","30","0","0.9877450980392157","false","0","Sphingolipid metabolism","111","1356","0.3207070707070707"
"1.5441176470588236","0.013594701595921892","0.6476190476190475","0.6382575757575758","#FF00B6","33","3","false","G_subsystem41","Amino acid metabolism","Alanine and aspartate metabolism","27.03030303030303","0","33","0","0.9886642156862745","false","0","Alanine and aspartate metabolism","45","630","0.40955004591368227"
"2.514705882352941","0.0","0.3976608187134503","0.0","#FFACFD","1","4","false","G_subsystem59","Energy metabolism","Heme synthesis","34.0","0","1","0","0.9684436274509803","false","0","Heme synthesis","24","0","0.0"
"1.588235294117647","0.012199297484243426","0.6296296296296297","0.6850574712643678","#FF00B6","30","3","false","G_subsystem10","Amino acid metabolism","Valine, leucine, and isoleucine metabolism","27.466666666666665","0","30","0","0.9877450980392157","false","0","Valine, leucine, and isoleucine metabolism","56","618","0.4161616161616162"
"0.0","0.0","0.0","0.0","#009FFF","0","0","true","G_subsystem58","Amino acid derivatives","Alkaloid synthesis","0.0","0","0","0","Infinity","false","0","Alkaloid synthesis","0","0","0.0"
"2.1176470588235294","0.0","0.4722222222222222","1.0","#9A4D42","3","3","false","G_subsystem57","Carbohydrate metabolism","C5-branched dibasic acid metabolism","38.666666666666664","0","3","0","0.9767156862745098","false","0","C5-branched dibasic acid metabolism","10","0","0.6783625730994152"
"0.0","0.0","0.0","0.0","#F1085C","0","0","true","G_subsystem56","Metabolism of cofactors and vitamins","Vitamin B12 metabolism","0.0","0","0","0","Infinity","false","0","Vitamin B12 metabolism","0","0","0.0"
"0.0","0.0","0.0","0.0","#009FFF","0","0","true","G_subsystem51","Amino acid derivatives","Stilbene, coumarine and lignin synthesis","0.0","0","0","0","Infinity","false","0","Stilbene, coumarine and lignin synthesis","0","0","0.0"
"1.3676470588235294","0.08305518571339053","0.7311827956989247","0.44629014396456257","#FF00B6","43","2","false","G_subsystem26","Amino acid metabolism","Aminosugar metabolism","23.674418604651162","0","43","0","0.9923406862745098","false","0","Aminosugar metabolism","54","2236","0.3481532147742818"
"1.5147058823529411","0.031600603403273336","0.6601941747572816","0.5394957983193277","#FFD300","35","3","false","G_subsystem25","Lipid metabolism","Fatty acid oxidation","25.37142857142857","0","35","0","0.9892769607843137","false","0","Fatty acid oxidation","641","1176","0.38441558441558443"
"1.661764705882353","0.005430129224142044","0.6017699115044247","0.7323076923076923","#F1085C","26","3","false","G_subsystem79","Metabolism of cofactors and vitamins","NAD metabolism","28.76923076923077","0","26","0","0.9862132352941176","false","0","NAD metabolism","45","282","0.44260355029585796"
"1.8088235294117647","0.00660680250664646","0.5528455284552846","0.6397058823529411","#F1085C","17","3","false","G_subsystem50","Metabolism of cofactors and vitamins","Vitamin A metabolism","24.0","0","17","0","0.9831495098039215","false","0","Vitamin A metabolism","55","226","0.375"
"1.6470588235294117","0.03449519178249078","0.6071428571428572","0.5138461538461538","#00FFBE","26","3","false","G_subsystem24","Cholesterol biosynthesis and metabolism","Cholesterol metabolism","23.96153846153846","0","26","0","0.9865196078431372","false","0","Cholesterol metabolism","85","1048","0.36305361305361306"
"1.6470588235294117","0.027750633010323576","0.6071428571428572","0.42592592592592593","#9A4D42","28","3","false","G_subsystem23","Carbohydrate metabolism","Pentose phosphate pathway","22.285714285714285","0","28","0","0.9865196078431372","false","0","Pentose phosphate pathway","58","752","0.3482142857142857"
"2.7941176470588234","0.0","0.35789473684210527","1.0","#F1085C","2","4","false","G_subsystem78","Metabolism of cofactors and vitamins","CoA catabolism","10.0","0","2","0","0.9626225490196078","false","0","CoA catabolism","24","0","0.6666666666666666"
"0.0","0.0","0.0","0.0","#201A01","0","0","true","G_subsystem54","Xenobiotics metabolism","Limonene and pinene degradation","0.0","0","0","0","Infinity","false","0","Limonene and pinene degradation","10","0","0.0"
"2.088235294117647","0.0","0.4788732394366197","1.0","#FFACFD","5","3","false","G_subsystem53","Energy metabolism","Heme degradation","29.8","0","5","0","0.9773284313725491","false","0","Heme degradation","15","0","0.5228070175438596"
"1.5588235294117647","0.02555603204086399","0.6415094339622641","0.5141129032258065","#FFD300","32","3","false","G_subsystem29","Lipid metabolism","Glycerophospholipid metabolism","25.46875","0","32","0","0.9883578431372548","false","0","Glycerophospholipid metabolism","101","1026","0.3858901515151515"
"1.588235294117647","0.007773693894944953","0.6296296296296297","0.6827586206896552","#009FFF","30","3","false","G_subsystem28","Amino acid derivatives","Urea cycle","28.166666666666668","0","30","0","0.9877450980392157","false","0","Urea cycle","69","434","0.42676767676767674"
"0.0","0.0","0.0","0.0","#FFD300","0","0","true","G_subsystem73","Lipid metabolism","Heparan sulfate degradation","0.0","0","0","0","Infinity","false","0","Heparan sulfate degradation","0","0","0.0"
"0.0","0.0","0.0","0.0","#B1CC71","0","0","true","G_subsystem72","Glycan biosynthesis and metabolism","Chondroitin synthesis","0.0","0","0","0","Infinity","false","0","Chondroitin synthesis","0","0","0.0"
